"id","en","preferred_zh","alt_zh","status","difficulty","confidence","attestations","definition_en","definition_zh","pitfalls","REVIEWER_VERDICT","REVIEWER_SUGGESTED_ZH","REVIEWER_NOTES"
"ai-alignment","AI alignment","对齐","人工智能对齐 / 价值观对齐 / 人工智慧校準","established","medium","high","3","Making an AI system pursue the intentions, values or norms of some specified principal — developer, user, or society. Its failure mode, misalignment, is the central object of most technical AI-safety research.","使人工智能系统按照指定对象——开发者、用户或整个社会——的意图、价值观与规范来运用其能力。与之相对的失败情形（错对齐）是绝大多数技术性人工智能安全研究的核心问题。","对齐 is fully established but is a dead metaphor in the wrong direction: in ordinary Chinese it is what you do to text in a word processor or parts on an assembly line, so a lay reader hears a mechanical/typographic operation rather than a relationship between an agent's goals and human values. Second and more consequential: the PRC policy register overwhelmingly writes 价值对齐 or 价值观对齐 ('value alignment'), which narrows the concept to values and quietly drops intent-following, controllability and the whole inner/outer alignment apparatus. The TC260 framework's only uses of 对齐 are 价值观、伦理观对齐 and 对齐算法. A translator who renders technical 'alignment' as 价值对齐 in a policy document is making a substantive scope reduction, not a stylistic choice. Third, note the antonym: the official Chinese International AI Safety Report uses 错对齐 for 'misalignment' (not 未对齐 or 失准), which is worth following for consistency.","","",""
"ai-control","AI control","人工智能控制","AI 控制 / 失准前提下的安全保障 / 可控性","common","high","medium","2","The Redwood Research agenda: designing deployment protocols (trusted monitoring, untrusted monitoring, resampling, auditing) that keep you safe even if the model is actively misaligned and deliberately trying to subvert your safeguards. Control is explicitly the complement of alignment — it assumes the model may already want to defect and asks whether it can succeed.","Redwood Research 提出的研究议程：设计一套部署协议（可信监控、不可信监控、重采样、审计等），使得即便模型已经失准、并且在有意规避安全措施，你依然是安全的。控制与对齐互补——对齐问「模型想不想搞破坏」，控制问「就算它想，能不能得逞」。","THIS IS THE HEADLINE PROBLEM IN THIS CATEGORY. Bare 控制 and 管控 in Chinese AI discourse mean administrative or regulatory control of AI by the state or by developers — the register of 「确保人工智能始终处于人类控制之下」 (Global AI Governance Initiative) and 「安全、可信、可控」 (TC260). Redwood's 'control' means something almost orthogonal: a technical, adversarial, deployment-time discipline that explicitly grants the premise that the model is misaligned. A Chinese reader meeting 人工智能控制 with no gloss will read policy-controllability (可控性), i.e. the very thing the control agenda assumes you have already lost. The distinction that must be preserved is the 'despite' — safety DESPITE misalignment, not safety BY achieving alignment. CSET's official Chinese translation solves this with an explicit contrast sentence rather than with a coined term, which is currently the best practice available: state the alignment/control contrast in full the first time. Do not use 管控 (which adds a supervisory-authority flavour) and do not use 可控性 (controllability, a property, not a research programme).","","",""
"ai-ethics","AI ethics","人工智能伦理","伦理域安全风险","established","low","medium","2","The normative study of how AI systems should be built and used — fairness, bias, privacy, accountability, human dignity. In most institutions it predates and sits alongside AI safety rather than inside it.","研究人工智能应当如何被开发和使用的规范性领域，涉及公平、偏见、隐私、问责与人的尊严等议题。在多数机构中，它的建制早于人工智能安全，并与之并列而非从属。","The term itself is stable; the trap is institutional. In PRC discourse 人工智能伦理 is long-established — 《新一代人工智能伦理规范》 dates from 2021, well before the safety framing arrived — and it comes with its own machinery (伦理审查, 科技伦理委员会). Consequently the TC260 framework treats ethics as one risk domain *inside* AI safety (伦理域安全风险), which is close to the inverse of the Anglophone arrangement where 'AI ethics' and 'AI safety' are often rival umbrella framings with different communities. When translating, do not assume 伦理 and 安全 stand in the same relation on both sides. Note too the striking construction 伦理安全 ('ethical safety/security'), which has no natural English equivalent.","","",""
"intelligence-for-good","AI for good","智能向善","intelligence oriented toward the good","established","medium","high","2","A principle from the 2023 Global AI Governance Initiative: AI development should be oriented toward the good, conform to international law, and accord with the common values of humanity. The 2025 AI+ Opinions go further and call for building a 理论体系 — a theoretical system — of 智能向善, which treats it as a research programme rather than a slogan.","《全球人工智能治理倡议》（2023）提出的宗旨：发展人工智能应坚持“智能向善”，遵守适用的国际法，符合全人类共同价值。2025年《关于深入实施“人工智能+”行动的意见》进一步要求“探索形成智能向善理论体系”，将其作为研究课题而非口号。","向善 is a moral-cultivation phrase — 'to turn toward the good' — with roots in the Mencian vocabulary of a subject's inner orientation. It attributes a moral direction to the development of the technology itself. English 'AI for good' is instrumental: AI deployed in service of good ends, a usage associated with humanitarian applications and UN-branded programmes. The Chinese is a stronger and more moralised claim, and it is stated as a 宗旨, a founding purpose, not an application area. The gap matters when reading PRC positions in international fora: an English reader sees a familiar and rather thin slogan where the Chinese text is asserting a normative orientation for the whole enterprise.","","",""
"ai-governance","AI governance","人工智能治理","人工智能监管 / 人工智能管理 / 敏捷治理","established","medium","high","3","The institutions, norms, laws and processes by which societies steer AI development and deployment — spanning company policy, national regulation and international agreements.","指社会引导人工智能研发与部署所依托的制度、规范、法律与流程，涵盖企业内部政策、国家监管与国际协议等层面。","治理 is correct and established, but the three near-synonyms carry different political weight and are not interchangeable. 治理 (governance) implies multi-stakeholder, multi-level steering including self-regulation and international coordination, and is the word PRC documents use for the outward-facing, cooperative frame (《全球人工智能治理倡议》). 监管 (regulation/supervision) names state enforcement by an agency and is narrower and harder-edged. 管理 (management/administration) is the word of administrative measures over a licensed activity — note that China's generative-AI rules are 《生成式人工智能服务管理暂行办法》, using 管理, not 治理, precisely because they are binding administrative rules. Rendering all three as 'governance' in English flattens a real distinction about who is doing what to whom; rendering English 'governance' as 监管 in a Chinese document narrows a cooperative frame into a regulatory one and can change the political reading of a text.","","",""
"ai-plus","AI Plus","人工智能+","""Artificial Intelligence+"" (AI+) initiative","common","medium","medium","2","The State Council initiative, formalised in the August 2025 Opinions, for driving AI into every sector of the economy and society — S&T, industry, consumption, livelihoods, governance and global cooperation. Modelled on 互联网+ (Internet Plus, 2015). Its existence signals a diffusion-first rather than frontier-first national strategy: the document is about adoption across 千行百业, not about building the most capable model.","2025年8月国务院《关于深入实施“人工智能+”行动的意见》确立的国家行动，推动人工智能与科技、产业、消费、民生、治理、全球合作等各领域深度融合，仿照2015年的“互联网+”。其重心是全行业扩散应用，而非前沿模型能力竞赛。","The '+' is a productive policy morpheme in Chinese, inherited from 互联网+, meaning roughly 'apply X across every sector as a national campaign'. English has no such suffix, so renderings either keep the plus sign (opaque) or paraphrase it as 'AI adoption' / 'AI diffusion' (loses the campaign character, the sectoral checklist and the implied central mobilisation). Note also that 人工智能+ is older than the 2025 initiative in a different sense: the 2017 AI Development Plan already used 「人工智能+X」 for interdisciplinary university degree programmes. Do not read every occurrence as a reference to the State Council initiative.","","",""
"ai-safety","AI safety","人工智能安全","AI 安全 / 人工智能安全性","established","high","high","3","The field concerned with preventing AI systems from causing harm — whether through accident, malfunction, misuse or loss of control — and with the techniques and institutions that make advanced AI reliably beneficial.","研究如何防止人工智能系统造成危害的领域，涵盖事故、故障、滥用与失控等各类成因，也包括为使先进人工智能可靠有益而发展的技术手段与制度安排。","This is the headline translation problem of the whole field. Chinese 安全 covers English safety, security AND (in 国家安全) national security, and the default rendering 人工智能安全 therefore silently collapses distinctions that the English discourse treats as load-bearing. Three specific hazards. (1) Institutional mismatch: 《人工智能安全治理框架》 is issued by the 全国网络安全标准化技术委员会 — the *cybersecurity* standards committee — yet is officially titled 'AI Safety Governance Framework' in English. The same character string 安全 does both jobs in a single document. (2) Direction of drift: because 安全 in PRC institutional usage is anchored to 网络安全/信息安全/国家安全, a Chinese reader encountering 人工智能安全 defaults to the security reading, i.e. protecting systems and the state *from* attack, not protecting the world from the model. English 'AI safety' advocacy read through 人工智能安全 therefore lands as a cybersecurity/content-control agenda. (3) There is an emerging fix but it is neither general nor, within its own source, complete: the official Chinese edition of the 2026 International AI Safety Report glosses 安全（Safety） and 安保（Security） as separate glossary entries and uses 安保 in security contexts, but applies the split only partially (25 occurrences of 安保 vs 465 of 安全; 网络安全 left unconverted). A 2026 arXiv terminological proposal (arXiv:2605.13069, verified) argues for making the split general across Chinese CS and engineering. See the ai-security entry. When precision matters, write 人工智能安全（safety） or adopt the 安全/安保 split explicitly; do not assume context will carry the distinction.","","",""
"ai-safety-governance-framework","AI Safety Governance Framework","《人工智能安全治理框架》","AI Safety Governance Framework 2.0","established","low","high","4","TC260's non-binding technical document setting out China's AI risk taxonomy and countermeasures. Version 1.0 was released 9 September 2024; version 2.0 on 15 September 2025, adding a three-way risk taxonomy (technology-inherent, technology-application, application-derived) and a five-level risk grading scale.","全国网络安全标准化技术委员会发布的技术文件，系统提出中国的人工智能安全风险分类与应对措施。1.0 版于 2024 年 9 月 9 日发布，2.0 版于 2025 年 9 月 15 日发布，新增技术内生、技术应用、应用衍生三类风险划分，并探索五级风险分级。","Chinese-origin document — cite the Chinese. The 2.0 PDF is bilingual on its title page and gives its own English title as 'AI Safety Governance Framework 2.0', so 安全 here is officially rendered *safety*; be aware that secondary English commentary sometimes renders it 'AI Security Governance Framework', and the document's contents in fact cover security (漏洞, 后门, 供应链) as much as safety. It is a 技术文件, not a 国家标准 — it is not mandatory and carries no penalties, so calling it 'China's AI safety standard' overstates it. Note also that 治理 (governance) not 监管 (regulation) is in the title, consistent with its non-binding status.","","",""
"ai-safety-institute","AI Safety Institute","人工智能安全研究所","美国人工智能标准与创新中心 / 中国人工智能发展与安全研究网络 / 安全监管部门","established","medium","high","5","A government-backed body that evaluates frontier AI models and develops safety testing methodology. The UK and US created the first two in 2023; an International Network of AI Safety Institutes was launched at the 2024 Seoul summit. The US body was reorganised as the Center for AI Standards and Innovation (CAISI) in June 2025.","由政府设立或支持、负责评测前沿人工智能模型并研究安全测试方法的专门机构。英国和美国于 2023 年率先设立，2024 年首尔峰会上成立了人工智能安全研究所国际网络。中国没有对应的监管型机构，而是在 2025 年 2 月成立了以对外交流为主的「中国人工智能发展与安全研究网络」。","The Chinese term is a straightforward calque, but the institutional referent does not exist in the PRC. China's nearest counterpart, 中国人工智能发展与安全研究网络 (CnAISDA, launched around the February 2025 Paris summit), is a 网络 (network) of existing institutes, not a 研究所, and does not test frontier models or hold regulatory power — so 'China's AI Safety Institute' is a misleading gloss. Note also that IDAIS's own Chinese text renders 'AI safety authorities' as 安全监管部门 (safety *regulatory* departments), a different institutional idea from a research institute. Finally, the US renaming to CAISI dropped 安全 entirely: 美国人工智能标准与创新中心 has no 安全 in it, and Chinese sources mark this by writing （原人工智能安全研究所）.","","",""
"ai-safety-level","AI Safety Level","AI安全等级","人工智能安全等级 / ASL","established","medium","medium","3","Anthropic's tiered scheme, modelled on biosafety levels, in which each level pairs a description of model capability with the security and deployment safeguards required at that level. ASL-3 was first triggered in 2025.","Anthropic参照生物安全等级（BSL）设计的分级体系，每一级都把模型能力的描述与该级别必须落实的安保与部署防护措施配对。ASL-3于2025年首次被触发。","The collision the hint flags is real and worth stating carefully. PRC cybersecurity has a legally mandated, deeply entrenched grading regime — 网络安全等级保护 ('MLPS', colloquially 等保), with five levels, its own national standards (e.g. GB/T 25070-2019) and a compliance step literally called 等级测评. The Shanghai AI Lab / Concordia AI frontier framework cites 等级保护 in its security section, so both vocabularies genuinely coexist in one Chinese AI-safety document. A bare 安全等级 in PRC context will therefore be read as an MLPS compliance grade — a static grading of the system's protection level assigned by regulation — not as a capability-triggered tier that a model can cross during training. Keep the AI/ASL prefix (AI安全等级(ASL)) rather than writing 安全等级 alone. Secondary point: 安全 here means safety, whereas in 等级保护 it means security; the collapse makes the two look even more alike than they are.","","",""
"ai-summit","AI Safety Summit","人工智能安全峰会","人工智能首尔峰会 / 巴黎人工智能行动峰会","established","medium","high","4","The intergovernmental summit series begun at Bletchley Park in November 2023, continued in Seoul (May 2024), Paris (February 2025) and India (2026). The name changed with each host: 'Safety' at Bletchley, then 'AI Seoul Summit', then 'AI Action Summit', then 'AI Impact Summit'.","始于 2023 年 11 月英国布莱切利庄园的政府间峰会系列，其后依次为 2024 年 5 月首尔、2025 年 2 月巴黎、2026 年印度。每届主办方都改名：布莱切利为“人工智能安全峰会”，其后依次为“人工智能首尔峰会”“人工智能行动峰会”“人工智能影响力峰会”。","The renaming is the whole story and the Chinese tracks it faithfully: 安全 was in the first summit's name and has been absent from every subsequent one — 人工智能首尔峰会, 巴黎人工智能行动峰会, and the 2026 Indian edition. So 人工智能安全峰会 is correct only for Bletchley and as a name for the series' original character; using it as a generic label for the series implies a safety focus that the later meetings dropped. Chinese sources normally carry the English name in parentheses on first mention, which is a good habit to copy.","","",""
"ai-security","AI security","人工智能安保","安保 / 人工智能安全 / 网络安全","contested","high","medium","6","Protecting AI systems and their assets — weights, training data, code, infrastructure — against deliberate adversarial interference: cyberattack, model theft, tampering, insider threat. Distinguished from safety by the presence of an adversary.","指保护人工智能系统及其权重、训练数据、代码和基础设施等资产，使其免遭蓄意对抗性干扰，包括网络攻击、模型窃取、篡改和内部威胁。与 safety 的区别在于是否存在有意的攻击者。","The default rendering is also 人工智能安全, identical to AI safety, so by default the distinction simply does not survive translation. Two escape routes exist and both have costs. (1) Sub-domain words: 网络安全 (cybersecurity), 信息安全 (information security), 数据安全 (data security), 模型权重安全 (weights security) are all stable and unambiguous — but they are hyponyms; there is no established Chinese superordinate for 'security' as such, which is precisely the gap the 2026 arXiv proposal identifies. (2) 安保: the official Chinese edition of the 2026 International AI Safety Report gives 安保（Security） its own glossary entry alongside 安全（Safety） and uses 安保 in security contexts — but the split is partial, not systematic: 25 occurrences of 安保 against 465 of 安全, with 网络安全 (25 occurrences) left unconverted. Zhao's 2026 arXiv proposal (arXiv:2605.13069, verified) argues for standardising on 安保/安保性 generally; 安保性 itself does not occur in the report. The cost is register: in everyday Mandarin 安保 most often means physical security or security guards (安保人员), so 人工智能安保 can read oddly to a general audience even though it is now attested in a flagship international document. Also note that 安全 in PRC institutional language is additionally entangled with 国家安全 (national security), a legally defined term — a third sense the English pair does not have at all.","","",""
"ai-takeover","AI takeover","AI 接管","夺权","proposed","high","low","0","A scenario in which AI systems acquire decisive control over the resources and institutions that determine humanity's future, whether by seizing them or by being handed them.","指AI系统取得对决定人类未来的资源和机构的决定性控制权，无论这种控制是被夺取的还是被交出去的。","Register is the problem, not vocabulary. 接管 is a perfectly ordinary word (a bank being taken over by regulators, a shift being handed over) and 'AI 接管' is transparent — but in Chinese it reads as film-poster language, and Chinese technical and policy writing avoids it almost entirely, preferring 失控 for anything in this neighbourhood. 夺权 is worse: it is squarely political-coup vocabulary in PRC register. No attestation of AI 接管 as a technical term was recovered in this pass; Chinese Wikipedia has no article at 人工智能接管. Practical recommendation: in serious Chinese prose, use 失控 with an explicit definition rather than 接管.","","",""
"algorithm-filing","algorithm filing","算法备案","algorithm registry","established","high","high","3","The mandatory notification regime created by the 2022 Provisions on the Management of Algorithmic Recommendations in Internet Information Services. A provider whose algorithmic recommendation service has ""public opinion attributes or social mobilisation capability"" must, within 10 working days of *beginning* to provide the service, submit prescribed particulars — provider name, service form, application domain, algorithm type, an algorithm self-assessment report and the text it intends to publish — through the Internet Information Service Algorithm Filing System, and is then issued a filing number that must be displayed on the service. The regulator grants filing when the materials are complete and refuses it when they are not; it does not licence, approve or vet the algorithm on the merits, and filing happens after launch rather than before it.","《互联网信息服务算法推荐管理规定》确立的强制性告知制度。具有舆论属性或者社会动员能力的算法推荐服务提供者，应当在提供服务之日起十个工作日内，通过互联网信息服务算法备案系统填报名称、服务形式、应用领域、算法类型、算法自评估报告、拟公示内容等信息，履行备案手续，取得备案编号并公示。网信部门对材料齐全者予以备案，材料不齐全者不予备案；备案本身不是行政许可，不构成对算法的实质性批准。","The single most damaging error in English coverage is calling 备案 'approval', 'licensing' or 'permitting'. 备案 is a completed-formality notification: the regulator's only stated ground for refusing is that materials are incomplete (第二十五条), and the duty attaches ten working days *after* service launch, not before it. Chinese administrative law distinguishes 备案 (record-filing) sharply from 许可 (licensing/permission) and from 核准 (ratification); English regulatory vocabulary collapses all three under 'registration'/'approval'. Rendering it as approval makes the regime sound like a pre-market gate it is not, and simultaneously understates it, because the real leverage lies elsewhere — in the 安全评估 duty (第二十七条), in the self-assessment report the filing must contain, and in the fact that a filing number can be publicly withheld. Note also the asymmetry with 生成式人工智能服务备案, where in practice the pre-launch security assessment does function as a gate. 'Registration' is a defensible second choice but suggests a register of entitlements; 'filing' is closer.","","",""
"algorithmic-governance","algorithmic governance","算法治理","","established","low","high","3","Regulation of algorithmic systems — recommendation, ranking, scheduling and generation — as such. China has the most developed regime of this kind, combining the 2022 algorithm-recommendation provisions, a national filing system, periodic 清朗 enforcement campaigns and platform disclosure duties.","针对推荐、排序、调度、生成等算法系统本身的治理。中国在这方面制度最为完备，结合了 2022 年《互联网信息服务算法推荐管理规定》、全国统一的算法备案系统、“清朗”专项行动以及平台公开算法规则的要求。","This is a case where the Chinese concept is richer than the English one, not poorer. 算法治理 in PRC usage bundles filing, campaign enforcement, platform self-disclosure, court practice and public participation into a single multi-layer regime, and has an explicit normative direction — 算法向上向善 (algorithms oriented upward and toward good) — with no English counterpart. English 'algorithmic governance' is a broader academic term that often includes governance *by* algorithms; 算法治理 in PRC usage means governance *of* algorithms. If you mean the former, say 算法化治理 or paraphrase. Note also that the substantive concerns are distinctively Chinese: 信息茧房 (information cocoons), 大数据杀熟 (price discrimination against loyal customers), and effects on gig workers. Finally, do not treat 算法备案 as an alternative rendering of this headword: filing is one instrument created within the 算法治理 regime — see the algorithm-filing entry.","","",""
